news_id,timestamp,headline_excerpt,sentiment_label,confidence_score,annotator_id,notes
NEWS-2057,2024-05-14T09:00:00Z,"Bitcoin Fear & Greed Index Returns to 'Neutral'...",Neutral,0.70,Annotator-A,"Market sentiment shifts away from extreme fear/greed."
NEWS-0001,2024-01-15T09:00:00Z,"Bitcoin Surges Past $60,000...",Positive,0.95,Annotator-A,"Clear positive sentiment regarding price action post-halving."
NEWS-0002,2024-01-15T09:30:00Z,"Ethereum Staking Rewards See Slight Dip...",Neutral,0.70,Annotator-B,"Slightly negative news, but framed neutrally as a dip, not a crash."
NEWS-0003,2024-01-16T10:15:00Z,"Solana Ecosystem Fund Announces New Grants...",Positive,0.88,Annotator-A,"Positive for the ecosystem development."
NEWS-0004,2024-01-16T11:00:00Z,"Regulatory Uncertainty Weighs on Cardano...",Negative,0.80,Annotator-C,"Clear negative sentiment related to regulation."
NEWS-0005,2024-01-17T11:45:00Z,"Chainlink Price Feeds Expand...",Positive,0.92,Annotator-B,"Positive partnership/expansion news."
NEWS-0006,2024-01-17T12:30:00Z,"Major Exchange Lists Polygon (MATIC)...",Positive,0.85,Annotator-A,"Generally positive due to increased accessibility/liquidity."
NEWS-0007,2024-01-18T13:00:00Z,"Global Crypto Market Cap Reaches $2.5 Trillion...",Positive,0.90,Annotator-C,"Positive market trend indicator."
NEWS-0008,2024-01-18T14:00:00Z,"SEC Approves Spot Ethereum ETF...",Positive,0.98,Annotator-B,"Major positive regulatory news for Ethereum."
NEWS-0009,2024-01-19T15:00:00Z,"NFT Market Shows Signs of Stabilization...",Neutral,0.65,Annotator-A,"Headline indicates stabilization, not strong recovery. Cautiously neutral."
NEWS-0010,2024-01-19T16:00:00Z,"Fed Chair Comments on Inflation; Crypto Markets Remain Volatile...",Negative,0.60,Annotator-C,"Focuses on volatility and inflation concerns, likely perceived negatively."
NEWS-0011,2024-01-20T16:30:00Z,"New DeFi Protocol Launches on Avalanche...",Positive,0.82,Annotator-A,"New protocol launch is positive for the ecosystem."
NEWS-0012,2024-01-20T17:00:00Z,"Bitcoin Mining Difficulty Hits New High...",Neutral,0.75,Annotator-B,"Indicates network security but also higher costs for miners."
NEWS-0013,2024-01-21T17:45:00Z,"XRP Ledger Sees Increase in Active Wallets...",Positive,0.70,Annotator-C,"Increased activity is generally positive."
NEWS-0014,2024-01-21T18:15:00Z,"Dogecoin Price Stagnates Despite Musk Tweet...",Neutral,0.60,Annotator-A,"Lack of price movement despite potential catalyst is neutral."
NEWS-0015,2024-01-22T19:00:00Z,"Venture Capital Pours $50M into Web3 Gaming Startup...",Positive,0.90,Annotator-B,"Significant investment indicates positive sentiment in the sector."
NEWS-0016,2024-01-22T19:30:00Z,"Security Audit Reveals Vulnerability in Smart Contract...",Negative,0.95,Annotator-C,"Clear negative security news."
NEWS-0017,2024-01-23T20:00:00Z,"Polkadot Parachain Auctions Enter New Phase...",Neutral,0.80,Annotator-A,"Procedural update, neutral impact on price typically."
NEWS-0018,2024-01-23T20:45:00Z,"Ethereum Gas Fees Remain Elevated...",Negative,0.70,Annotator-B,"High fees are a negative user experience."
NEWS-0019,2024-01-24T21:15:00Z,"Crypto Adoption Grows in South America...",Positive,0.85,Annotator-C,"Positive trend for global adoption."
NEWS-0020,2024-01-24T22:00:00Z,"Binance Completes System Upgrade...",Neutral,0.90,Annotator-A,"Routine maintenance, neutral unless issues arise."
NEWS-0021,2024-01-25T22:30:00Z,"Solana Network Experiences Intermittent Congestion...",Negative,0.65,Annotator-B,"Network issues are negative."
NEWS-0022,2024-01-25T23:00:00Z,"Cardano Summit Highlights New Development Milestones...",Positive,0.80,Annotator-C,"Positive news from project updates."
NEWS-0023,2024-01-26T23:45:00Z,"Litecoin Hashrate Shows Steady Growth...",Positive,0.72,Annotator-A,"Positive indicator for network health."
NEWS-0024,2024-01-27T00:15:00Z,"US Treasury Official Calls for Stricter Stablecoin Regulation...",Negative,0.85,Annotator-B,"Increased regulatory scrutiny often perceived negatively."
NEWS-0025,2024-01-27T01:00:00Z,"Decentraland Hosts Virtual Fashion Week...",Neutral,0.68,Annotator-C,"Metaverse event, neutral market impact unless major partnerships involved."
NEWS-0500,2024-02-10T15:45:00Z,"Technical Analysis Suggests Potential Breakout for LINK...",Positive,0.78,Annotator-B,"Positive technical outlook."
NEWS-1000,2024-02-20T10:00:00Z,"Bitcoin Holds Support Above $58,000...",Neutral,0.70,Annotator-A,"Price holding support is neutral-positive, but lacks strong upward momentum."
NEWS-1001,2024-03-01T09:00:00Z,"Bitcoin Tests $65,000 Resistance...",Positive,0.95,Annotator-A,"Testing key resistance level, viewed positively."
NEWS-1002,2024-03-01T09:30:00Z,"Ethereum Layer 2 Solutions Show Record Transaction Volume...",Positive,0.80,Annotator-B,"Positive adoption indicator for L2s."
NEWS-1003,2024-03-02T10:15:00Z,"Solana DeFi Protocol Suffers Exploit...",Negative,0.90,Annotator-A,"Negative security incident impacting ecosystem trust."
NEWS-1004,2024-03-02T11:00:00Z,"Cardano Voltaire Era Governance Vote Announced...",Neutral,0.75,Annotator-C,"Significant governance update, market impact uncertain."
NEWS-1005,2024-03-03T11:45:00Z,"Chainlink CCIP Adopted by Major Bank...",Positive,0.95,Annotator-B,"Major partnership boosting real-world adoption."
NEWS-1006,2024-03-03T12:30:00Z,"Polygon zkEVM Upgrade Successfully Deployed...",Positive,0.88,Annotator-A,"Positive technical development for Polygon ecosystem."
NEWS-1007,2024-03-04T13:00:00Z,"Altcoin Market Sees Profit Taking After Rally...",Negative,0.65,Annotator-C,"Short-term negative price action."
NEWS-1008,2024-03-04T14:00:00Z,"Ethereum ETF Trading Volumes Exceed Expectations...",Positive,0.92,Annotator-B,"Strong market interest in newly approved ETFs."
NEWS-1009,2024-03-05T15:00:00Z,"NFT Project 'CryptoPunks' Floor Price Declines...",Negative,0.70,Annotator-A,"Negative trend for a major NFT collection."
NEWS-1010,2024-03-05T16:00:00Z,"Global Economic Slowdown Fears Impact Crypto...",Negative,0.75,Annotator-C,"Macroeconomic factors creating negative pressure."
NEWS-1011,2024-03-06T16:30:00Z,"Avalanche Subnet Growth Accelerates...",Positive,0.85,Annotator-A,"Positive ecosystem growth indicator."
NEWS-1012,2024-03-06T17:00:00Z,"Bitcoin Halving Event Approaches Amid Miner Optimism...",Positive,0.80,Annotator-B,"Anticipation of halving generally positive, though costs rise."
NEWS-1013,2024-03-07T17:45:00Z,"Ripple vs SEC Lawsuit Sees New Filing...",Neutral,0.60,Annotator-C,"Legal proceedings continue, outcome uncertain."
NEWS-1014,2024-03-07T18:15:00Z,"Shiba Inu Launches New Utility Project...",Positive,0.70,Annotator-A,"Effort to add utility viewed positively by community."
NEWS-1015,2024-03-08T19:00:00Z,"AI-Focused Crypto Projects Attract Funding...",Positive,0.88,Annotator-B,"Growing interest and investment in AI x Crypto intersection."
NEWS-1016,2024-03-08T19:30:00Z,"Decentralized Exchange Hacked for $10M...",Negative,0.98,Annotator-C,"Major security breach, negative for DeFi trust."
NEWS-1017,2024-03-09T20:00:00Z,"Polkadot 2.0 Upgrade Details Revealed...",Positive,0.82,Annotator-A,"Positive roadmap update for the network."
NEWS-1018,2024-03-09T20:45:00Z,"Ethereum Restaking Protocols Gain Traction...",Positive,0.75,Annotator-B,"Emerging trend in Ethereum ecosystem showing growth."
NEWS-1019,2024-03-10T21:15:00Z,"Crypto Regulation Bill Proposed in European Parliament...",Neutral,0.70,Annotator-C,"Regulatory developments create uncertainty, could be pos/neg."
NEWS-1020,2024-03-10T22:00:00Z,"Coinbase Reports Strong Quarterly Earnings...",Positive,0.90,Annotator-A,"Positive financial results for major exchange."
NEWS-1021,2024-03-11T22:30:00Z,"Solana Mobile Chapter 2 Sales Exceed Targets...",Positive,0.85,Annotator-B,"Positive indicator for Solana's mobile strategy."
NEWS-1022,2024-03-11T23:00:00Z,"Cardano Partners with African Telecom Giant...",Positive,0.90,Annotator-C,"Significant partnership for real-world adoption."
NEWS-1023,2024-03-12T23:45:00Z,"Litecoin Integration with Payment Processor Announced...",Positive,0.78,Annotator-A,"Increased utility and payment options."
NEWS-1024,2024-03-13T00:15:00Z,"Stablecoin Issuer Faces Scrutiny Over Reserves...",Negative,0.80,Annotator-B,"Concerns about stablecoin backing create negative sentiment."
NEWS-1025,2024-03-13T01:00:00Z,"The Sandbox Announces New Land Sale...",Neutral,0.65,Annotator-C,"Metaverse platform activity, neutral market impact."
NEWS-1500,2024-04-01T15:45:00Z,"Analyst Predicts LINK to Reach New All-Time High...",Positive,0.75,Annotator-B,"Bullish prediction based on technicals/fundamentals."
NEWS-2000,2024-04-15T10:00:00Z,"Bitcoin Consolidates Around $70,000 After Halving...",Neutral,0.72,Annotator-A,"Price stabilization post-halving, awaiting next move."
NEWS-2001,2024-04-16T09:00:00Z,"Ethereum Gas Fees Decrease Following Dencun Upgrade...",Positive,0.85,Annotator-B,"Lower fees are positive for user experience and adoption."
NEWS-2002,2024-04-16T10:30:00Z,"Solana Validators Vote on Fee Market Changes...",Neutral,0.70,Annotator-C,"Network governance decision, impact TBD."
NEWS-2003,2024-04-17T11:15:00Z,"Cardano Founder Discusses Future Interoperability...",Positive,0.80,Annotator-A,"Positive outlook on future development."
NEWS-2004,2024-04-17T12:00:00Z,"Report: Crypto Scams Increased in Q1 2024...",Negative,0.90,Annotator-B,"Negative news regarding security and trust in the space."
NEWS-2005,2024-04-18T13:45:00Z,"Chainlink Staking v0.2 Attracts Significant Deposits...",Positive,0.88,Annotator-C,"Positive indicator of community trust and participation."
NEWS-2006,2024-04-18T14:30:00Z,"Polygon Announces Partnership with Major Gaming Studio...",Positive,0.92,Annotator-A,"Positive development for Polygon's gaming ecosystem."
NEWS-2007,2024-04-19T15:00:00Z,"Bitcoin Whales Accumulate Despite Price Dip...",Positive,0.75,Annotator-B,"Accumulation by large holders can be seen as a positive long-term signal."
NEWS-2008,2024-04-19T16:00:00Z,"SEC Delays Decision on Another Spot Bitcoin ETF...",Negative,0.60,Annotator-C,"Regulatory delays often create negative short-term sentiment."
NEWS-2009,2024-04-20T16:45:00Z,"Avalanche C-Chain Experiences Brief Outage...",Negative,0.70,Annotator-A,"Network outages negatively impact usability and trust."
NEWS-2010,2024-04-20T17:30:00Z,"Dogecoin Foundation Releases New Trailmap...",Neutral,0.65,Annotator-B,"Roadmap update, impact depends on execution and community reception."
NEWS-2011,2024-04-21T18:00:00Z,"XRP Price Remains Range-Bound Amid Lawsuit Uncertainty...",Neutral,0.70,Annotator-C,"Price stagnation linked to ongoing legal case."
NEWS-2012,2024-04-21T18:45:00Z,"New Meme Coin 'PEPE' Sees Explosive Growth...",Positive,0.55,Annotator-A,"Highly speculative, but represents positive short-term price action for the specific coin."
NEWS-2013,2024-04-22T19:15:00Z,"Web3 Infrastructure Provider Raises $100M Series B...",Positive,0.93,Annotator-B,"Significant funding indicates strong investor confidence in Web3 infrastructure."
NEWS-2014,2024-04-22T20:00:00Z,"Smart Contract Exploit Drains $5M from DeFi Protocol...",Negative,0.96,Annotator-C,"Another security incident highlighting DeFi risks."
NEWS-2015,2024-04-23T20:30:00Z,"Polkadot Community Approves Treasury Proposal...",Neutral,0.80,Annotator-A,"Governance activity, neutral unless proposal is highly impactful."
NEWS-2016,2024-04-23T21:00:00Z,"Ethereum Layer 2 Arbitrum Announces Nitro Upgrade...",Positive,0.85,Annotator-B,"Positive technical upgrade expected to improve performance."
NEWS-2017,2024-04-24T21:45:00Z,"Crypto Market Sentiment Index Shows 'Extreme Greed'...",Neutral,0.70,Annotator-C,"Indicates high optimism, but can also signal potential pullback."
NEWS-2018,2024-04-24T22:30:00Z,"Binance Faces Regulatory Probe in New Jurisdiction...",Negative,0.75,Annotator-A,"Regulatory challenges for major exchanges are generally negative."
NEWS-2019,2024-04-25T23:00:00Z,"Solana NFT Marketplace Magic Eden Expands to Polygon...",Positive,0.82,Annotator-B,"Cross-chain expansion is positive for both ecosystems."
NEWS-2020,2024-04-25T23:45:00Z,"Cardano Vasil Hard Fork Implementation Progressing...",Positive,0.78,Annotator-C,"Positive progress on a major network upgrade."
NEWS-2021,2024-04-26T09:00:00Z,"Litecoin Foundation Partners with E-commerce Platform...",Positive,0.75,Annotator-A,"Partnership aimed at increasing LTC payment adoption."
NEWS-2022,2024-04-26T10:00:00Z,"US Inflation Data Comes In Higher Than Expected; BTC Dips...",Negative,0.80,Annotator-B,"Negative macroeconomic news impacting risk assets like Bitcoin."
NEWS-2023,2024-04-27T11:00:00Z,"Decentralized Social Media Platform Gains Users...",Positive,0.68,Annotator-C,"Growth in Web3 social platforms seen as positive for the sector."
NEWS-2024,2024-04-27T12:00:00Z,"Chainlink BUILD Program Welcomes New Projects...",Positive,0.80,Annotator-A,"Ecosystem growth initiative viewed positively."
NEWS-2025,2024-04-28T13:00:00Z,"Bitcoin Mining Council Reports Increased Sustainable Energy Use...",Positive,0.72,Annotator-B,"Positive development addressing environmental concerns."
NEWS-2026,2024-04-28T14:00:00Z,"Ethereum Developers Discuss Next Steps After Merge...",Neutral,0.85,Annotator-C,"Ongoing development discussions, neutral impact for now."
NEWS-2027,2024-04-29T15:00:00Z,"Solana Pay Integrated by Major Retailer...",Positive,0.90,Annotator-A,"Significant adoption milestone for Solana's payment solution."
NEWS-2028,2024-04-29T16:00:00Z,"Cardano DeFi TVL Reaches New High...",Positive,0.83,Annotator-B,"Growth in Total Value Locked indicates increasing DeFi activity on Cardano."
NEWS-2029,2024-04-30T17:00:00Z,"Polygon Co-founder Outlines Vision for Polygon 2.0...",Positive,0.88,Annotator-C,"Positive strategic update outlining future plans."
NEWS-2030,2024-04-30T18:00:00Z,"Crypto Custody Provider Loses Private Keys...",Negative,0.95,Annotator-A,"Major security failure with significant negative implications."
NEWS-2031,2024-05-01T09:30:00Z,"Avalanche Launches $290M Metaverse Incentive Program...",Positive,0.86,Annotator-B,"Significant investment to boost metaverse development on Avalanche."
NEWS-2032,2024-05-01T10:30:00Z,"XRP Holders Await Summary Judgment in SEC Case...",Neutral,0.65,Annotator-C,"Anticipation builds around key legal decision, outcome uncertain."
NEWS-2033,2024-05-02T11:00:00Z,"NFT Trading Volume Sees Slight Uptick...",Neutral,0.60,Annotator-A,"Minor increase, but market still far from previous highs. Neutral."
NEWS-2034,2024-05-02T12:00:00Z,"Polkadot Parachain Slot Auction Winners Announced...",Neutral,0.77,Annotator-B,"Routine ecosystem event, neutral impact."
NEWS-2035,2024-05-03T13:00:00Z,"Ethereum Staking Yields Stabilize...",Neutral,0.70,Annotator-C,"Yields holding steady after previous fluctuations."
NEWS-2036,2024-05-03T14:00:00Z,"Bitcoin Network Fees Spike Amid Ordinals Activity...",Negative,0.68,Annotator-A,"High fees negatively impact regular transactions, though shows network usage."
NEWS-2037,2024-05-04T15:00:00Z,"Coinbase Expands Services to European Countries...",Positive,0.85,Annotator-B,"Expansion into new markets is positive for growth."
NEWS-2038,2024-05-04T16:00:00Z,"Solana Network Update Aims to Improve Reliability...",Positive,0.80,Annotator-C,"Positive step towards addressing past network instability issues."
NEWS-2039,2024-05-05T17:00:00Z,"Cardano Hydra Scaling Solution Shows Promise in Tests...",Positive,0.82,Annotator-A,"Positive development for Cardano's layer 2 scaling."
NEWS-2040,2024-05-05T18:00:00Z,"Chainlink VRF Used to Secure NFT Mint...",Positive,0.79,Annotator-B,"Demonstrates utility of Chainlink services in the NFT space."
NEWS-2041,2024-05-06T19:00:00Z,"Polygon Labs Announces Layoffs Amid Restructuring...",Negative,0.70,Annotator-C,"Layoffs generally perceived negatively, despite restructuring narrative."
NEWS-2042,2024-05-06T20:00:00Z,"Global Regulators Meet to Discuss Crypto Framework...",Neutral,0.75,Annotator-A,"Ongoing regulatory discussions, outcome and impact uncertain."
NEWS-2043,2024-05-07T21:00:00Z,"Avalanche Based GameFi Project Raises Seed Round...",Positive,0.81,Annotator-B,"Funding for ecosystem projects is positive."
NEWS-2044,2024-05-07T22:00:00Z,"Bitcoin Price Drops Below Key Support Level...",Negative,0.88,Annotator-C,"Breaking below support is a negative technical signal."
NEWS-2045,2024-05-08T09:00:00Z,"Ethereum Layer 2 Optimism Announces Bedrock Upgrade...",Positive,0.87,Annotator-A,"Major technical upgrade expected to reduce fees and improve performance."
NEWS-2046,2024-05-08T10:00:00Z,"Ripple Expands On-Demand Liquidity Corridors...",Positive,0.80,Annotator-B,"Positive news for XRP utility and Ripple's business."
NEWS-2047,2024-05-09T11:00:00Z,"NFT Marketplace Blur Introduces New Lending Feature...",Positive,0.75,Annotator-C,"New feature enhances platform utility, potentially positive."
NEWS-2048,2024-05-09T12:00:00Z,"Polkadot Treasury Funds Decentralized Identity Project...",Positive,0.78,Annotator-A,"Ecosystem funding for promising technology."
NEWS-2049,2024-05-10T13:00:00Z,"Binance Announces Delisting of Several Altcoins...",Negative,0.65,Annotator-B,"Delisting reduces liquidity and access, negative for the specific coins."
NEWS-2050,2024-05-10T14:00:00Z,"US Senator Proposes Bill for Crypto Consumer Protection...",Neutral,0.70,Annotator-C,"Regulatory proposal, could be positive (clarity) or negative (restrictions)."
NEWS-2051,2024-05-11T15:00:00Z,"Solana Hacker House Event Concludes Successfully...",Positive,0.76,Annotator-A,"Positive community and developer engagement event."
NEWS-2052,2024-05-11T16:00:00Z,"Cardano Stake Pool Operators Discuss Parameter Changes...",Neutral,0.72,Annotator-B,"Ongoing network maintenance and governance discussions."
NEWS-2053,2024-05-12T17:00:00Z,"Chainlink Economics 2.0 Paper Released...",Positive,0.84,Annotator-C,"Update on tokenomics and long-term sustainability plan."
NEWS-2054,2024-05-12T18:00:00Z,"Polygon zkEVM Sees Increase in dApp Deployments...",Positive,0.80,Annotator-A,"Positive adoption indicator for Polygon's ZK solution."
NEWS-2055,2024-05-13T19:00:00Z,"Crypto Market Recovers Slightly After Weekend Dip...",Positive,0.60,Annotator-B,"Minor recovery, cautiously positive sentiment."
NEWS-2056,2024-05-13T20:00:00Z,"Avalanche Bridge Adds Support for New Assets...",Positive,0.78,Annotator-C,"Increased interoperability is positive for the ecosystem."
NEWS-2057,2024-05-14T09:00:00Z,"Bitcoin Fear & Greed Index Returns to 'Neutral'...",Neutral,0.70,Annotator-A,"Market sentiment shifts away from extreme fear/greed."